Features,Num_Features,AIC,BIC,R_squared
"('village', 'district', 'latitude')",3,325502.66736868996,325537.00662931515,0.03715768908610073
"('village', 'district', 'longitude')",3,326552.40328233415,326586.74254295934,0.011246484365428855
"('village', 'district', 'wellDepth')",3,326505.23465161654,326539.5739122417,0.012425597326407578
"('village', 'stationCode', 'latitude')",3,299033.59258796385,299067.93184858904,0.5071055545645762
"('village', 'stationCode', 'longitude')",3,304664.72397262,304699.06323324516,0.4316444783862772
"('village', 'stationCode', 'wellDepth')",3,304780.00046850555,304814.33972913073,0.42998463378762675
"('village', 'latitude', 'longitude')",3,325557.6892135007,325592.0284741259,0.03581657481998135
"('village', 'latitude', 'wellDepth')",3,325510.738603893,325545.0778645182,0.03696107587629682
"('village', 'longitude', 'wellDepth')",3,326576.6674599185,326611.00672054366,0.010639384554507081
"('stationName', 'id', 'subdistric')",3,317240.5426103014,317274.8818709266,0.21876134743524156
"('stationName', 'id', 'district')",3,315330.06972140586,315364.40898203105,0.2556205039865247
"('stationName', 'id', 'stationCode')",3,302225.7479081855,302260.0871688107,0.46565175422534966
"('stationName', 'id', 'latitude')",3,314079.97303172934,314114.31229235453,0.2787924349229849
"('stationName', 'id', 'longitude')",3,317306.851061246,317341.1903218712,0.21744978162037798
"('stationName', 'id', 'wellDepth')",3,317314.0347990045,317348.3740596297,0.21730755681923797
"('stationName', 'subdistric', 'district')",3,315427.3882549847,315461.7275156099,0.2537856654780257
"('stationName', 'subdistric', 'stationCode')",3,303926.1681776447,303960.5074382699,0.442164723089844
"('stationName', 'subdistric', 'latitude')",3,315028.8431460553,315063.1824066805,0.26127126860097927
"('stationName', 'subdistric', 'longitude')",3,317193.8365402459,317228.1758008711,0.21968386297929654
"('stationName', 'subdistric', 'wellDepth')",3,317208.25359443534,317242.59285506053,0.21939922063779338
"('stationName', 'district', 'stationCode')",3,300937.37060309655,300971.70986372174,0.48278669128727114
"('stationName', 'district', 'latitude')",3,314276.89253689593,314311.2317975211,0.2751907611988037
"('stationName', 'district', 'longitude')",3,315216.32557811553,315250.6648387407,0.2577593127706511
"('stationName', 'district', 'wellDepth')",3,315121.32707651804,315155.6663371432,0.25954092405360385
"('stationName', 'stationCode', 'latitude')",3,298139.26593136345,298173.60519198864,0.5181316007831183
"('stationName', 'stationCode', 'longitude')",3,303583.18031360995,303617.51957423514,0.4469839254927497
"('stationName', 'stationCode', 'wellDepth')",3,303609.10806664417,303643.44732726936,0.44662108290392877
"('stationName', 'latitude', 'longitude')",3,314831.2627313089,314865.60199193406,0.26495439960910805
"('stationName', 'latitude', 'wellDepth')",3,314773.5995674976,314807.9388281228,0.2660258429672372
"('stationName', 'longitude', 'wellDepth')",3,317233.4416867792,317267.7809474044,0.21890167168754682
"('id', 'subdistric', 'district')",3,326795.68577692925,326830.02503755444,0.005142559516886691
"('id', 'subdistric', 'stationCode')",3,303417.5379020948,303451.87716271996,0.44929637837152603
"('id', 'subdistric', 'latitude')",3,323264.2236643839,323298.5629250091,0.09016506112984468
"('id', 'subdistric', 'longitude')",3,326886.38887127704,326920.72813190223,0.002857200214308242
"('id', 'subdistric', 'wellDepth')",3,326665.5437630181,326699.8830236433,0.008412477484311176
"('id', 'district', 'stationCode')",3,302648.09307409485,302682.43233472004,0.45991208051093413
"('id', 'district', 'latitude')",3,323844.4800175751,323878.8192782003,0.07671119572007334
"('id', 'district', 'longitude')",3,326825.6120782393,326859.9513388645,0.00438911463929581
"('id', 'district', 'wellDepth')",3,326620.3077380826,326654.6469987078,0.00954654838166602
